C2:154:JOAO	<'/127.0.0.1':57540>
R2:15	<'/127.0.0.1':57541>
R2:15	<'/127.0.0.1':59037>
R2:15	<'/127.0.0.1':65020>
D2:15	<'/127.0.0.1':59070>
R2:15	<'/127.0.0.1':59071>
R2:15	<'/127.0.0.1':53202>
R2:15	<'/127.0.0.1':65421>
C2:156:CARLOS	<'/127.0.0.1':65421>
R2:15	<'/127.0.0.1':65421>
R2:15	<'/127.0.0.1':56959>
R2:20	<'/127.0.0.1':56959>
U2:205:TESTE	<'/127.0.0.1':56959>
C2:243:FUI	<'/127.0.0.1':58569>
C2:246:VOLTEI	<'/127.0.0.1':58568>
R2:15	<'/127.0.0.1':58931>
C3:2142:OI	<'/127.0.0.1':58946>
R3:214	<'/127.0.0.1':58946>
R3:214	<'/127.0.0.1':61233>
R3:215	<'/127.0.0.1':61233>
D3:214	<'/127.0.0.1':61233>
R3:214	<'/127.0.0.1':61233>
